Code ,Name_fr 
10,PRESIDENCE DE LA REPUBLIQUE 
11,PRIMATURE 
12,VICE-PRIMATURE 
15,CHANCELLERIE DES ORDRES NATIONAUX 
16,ASSEMBLEE NATIONALE 
17,SENAT 
18,ORGANE DELIVERANT PROVINCIAL OU LOCAL
19,ORGANE EXECUTIF PROVINCIAL OU LOCAL
20,POUVOIR JUDICIAIRE 
21,SECRETARIAT GENERAL DU GOUVERNEMENT 
22,AFFAIRE ENTRANGERES 
23,"COOPERATION INTERNATIONNALE, REGIONALE ET FRANCOPHONIE "
24,DECENTRALISATION ET REFORMES INSTITUTIONNELLES 
25,INTERIEUR ET SECURITE 
26,RELATIONS AVEC LES PARTIS POLITIQUES 
27,DEFENSE ET ANCIENS COMBATTANTS 
29,ECONOMIE NATIONALE 
30,FINANCES 
31,BUDGET 
32,PLAN
33,RECONTRUCTION 
34,JUSTICE 
35,REFORMES INSTITUTIONNELLES 
36,RELATIONS AVEC LE PARLEMENT 
37,SANTE 
38,"ENSEIGNMENT PRIMAIRE, SECONDAIRE ET TECHNIQUE "
40,ENSEIGNMENT SUPERIEUR ET UNIVERSITARIE 
41,RECHERCHE SCIENTIFIQUE ET INNOVATION TECHNOLOGIQUE 
42,INFRASTRUCTURES ET TRAVAUX PUBLICS
43,URBANISME ET HABITATE
44,AGRICULTURE 
45,DEVELOPPEMENT RURAL 
46,INDUSTRIE 
47,COMMERCE EXTERIEUR 
48,MINES 
49,HYDROCARBURES 
50,RESSOURCES HYDRAULIQUE ET DE L'ELECTRICITE 
51,TRANSPORTS ET VOIES DE COMMUNICATION 
52,"POSTES, TELECOMMUNICATIONS ET NOUVELLES TECHNOLOGIES DE L'IN"
53,COMMUNICATION ET MEDIAS 
54,DROITS HUMAINS 
55,AFFARIES FONCIERES 
56,ENVIRONNEMENT ET DEVELOPPEMENT DURABLE 
57,TOURISME
58,CULTURE ET ARTS 
59,JEUNESSE ET INITIATION A LA NOUVELLE CITOYENNETE
60,SPORTS ET LOISIRS 
61,FONCTION PUBLIQUE 
62,"EMPLOI, TRAVAIL ET PREVOYANCE SOCIALE "
64,AFFAIRES SOCIALES 
65,"GENRE, FAMILLE ET ENFANT "
68,PERSONNES VIVANTS AVEC HANDICAP
69,INTEGRATION REGIONALE 
70,ACTIONS HUMANITAIRES ET SOLIDARITE NATIONALE 
74,PORTEFEUILLE 
76,COMITE NATIONAL DE SUIVI DE L'ACCORD DE ST SYLVESTRE 
77,COMMISSION ELECTORALE NATIONALE INDEPENDANTE
78,"FORMATION PROFESSIONNELLE, ARTS ET METIERS "
79,CONSEIL ECONOMIQUE ET SOCIAL DE LA REPUBLIQUE 
80,CONSEIL SUPERIEUR DE L'AUDIO-VISUEL ET DE LA COMMUNICATION 
81,COMMISSION NATIONALE DES DROITS DE L'HOMME
82,PECHE ET ELEVAGE 
83,AFFAIRES COUTUMIERES 
84,AMENAGEMENT DU TERRITOIRE
85,COURS DES COMPTES
90,"CLASSE MOYENNE, DES PETITES ET MOYENNES ENTREPRISES, ARTISANA"
93,OPPOSITION POLITIQUE 
