Code ,Name_fr
01,PRESIDENCE DE LA REPUBLIQUE
02,SENAT
03,ASSEMBLEE NATIONALE
04,HAUTE COUR CONSTITUTIONNELLE
05,PRIMATURE
06,COUNCIL DU FAMPIHAVANANA MALAGASY (CFM)
07,COMMISSION ELECTORALE NATIONALE INDEPENDANTE
12,MINISTERE DE LA DEFENSE NATIONALE
11,MINISTERE DES AFFAIRES ENTRANGERES
16,MINISTERE DE LA JUSTICE
21,MINISTERE DE L'ECONOMIE ET DES FINANCES
14,MINISTERE DE L'INTERIEUR ET DE LA DECENTRALISATION
15,MINISTERE DE LA SECURTIE PUBLIQUE
62,MINISTERE DE L'AMENAGEMENT DU TERRITOIRE ET DES TRAVAUX PUBLICS
81,MINISTERE DE L'EDUCATION NATIONALE ET DE L'ENSEIGNMENT TECHNIQUE ET PROFESSIONNEL
71,MINISTERE DE LA SANTE PUBLIQUE
41,"MINISTERE DE L'AGRICULTRE, DE L'ELEVANGE ET DE LA PECHE"
51,MINISTERE DE L'ENEGIE ET DES HYDROCARBURES
52,"MINISTERE DE L'EAU, DE L'ASSAINISSEMENT ET DE L'HYGIENE"
53,MINISTERE DES MINES ET DES RESSOURCES STRATEGIUES
63,"MINISTERE DES TRANSPORTS, DU TOURISME ET DE LA METEOROLOGIE"
32,"MINISTERE DU TRAVAIL, DE L'EMPLOI DE LA FONCTION PUBLIQUE ET DES LOIS SOCIALES"
84,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE SCIENTIFIQUE
34,MINISTERE DE L'INDUSTRIE DU COMMERCE ET DE L'ARTISANAT
44,MINISTERE DE L'ENVIRONNEMENT ET DUE DEVELOPPEMENT DURABLE
66,"MINISTERE DES POSTES, DES TELECOMMUNICATIONS ET DU DEVELOPPEMENT NUMERIQUE"
76,"MINISTERE DE LA POPULATION, DE LA PROTECTION SOCIALE ET DE LA PROMOTION DE LA FEMME"
75,MINISTERE DE LA JEUNESSE ET DES SPORTS
37,MINISTERE DE LA COMMUNICATION ET DE LA CULTURE
13,SECRETARIAT D'ETAT AUPRES DU MINISTERE DE LA DEFENSE NATIONALE CHARGE DE LA GENDARMERIE
91,HAUT CONSEL POUR LA DEFENSE DE LA DEMOCRATIE ET DE L'ETAT DE DRIOT
92,COMMISSION NATIONALE INDEPENDANTE DES DROITS DE L'HOMME
93,HAUTE COUR DE JUSTICE
