Code,Name_pt
1,ASSEMBLEIA NACIONAL POPULAR 
6,MINISTERIO DA JUSTICA
9,MINISTERIO DA DEFESA NACIONAL
10,MINISTERIO DA ADMINSTRACAO INTERNA 
13,MINISTERIO DA FUNCAO PUBLICA E REFORMA ADMINISTRATIVA 
15,MINISTERIO DA EDUCACAO NACIONAL
18,MINISTERIO DA SAUDE PUBLICA 
19,"MINISTERIO DA MULHER, FAMILIA E CAESAO SOCIAL"
21,"MINISTERIO DAS OBRAS PUBLICAS, CONSTRUCOES E URBANISMO"
22,MINISTERIO DOS RECURSOS NATURAIS
23,MINISTERIO DA AGRICULTRA E DESENVOLVIMENTO RURAL
25,MINISTERIO DO COMERCIO E ARTESANATO 
27,SECRETARIA DE ESTADO DOS TRANSPORTES E COMUNICACOES
28,SECRETARIA DE ESTADO DO AMBIENTE 
29,SECRETARIA DE ESTADO DAS PESCAS E ECONOMIA MARITIMA 
30,SECRETARIA DE ESTADO DA COOPERACAO E DAS COMUNIDADES
35,"SECRETARIA DE ESTADO DA JUVENTUDE, CULTURA E DESPORTOS "
39,SECRETARIA DE ESTADO DOS COMBATENTES DA LIBERDADE DA PATRIA 
46,SECRETARIA DE ESTADO DO PLANO E INTEGRACAO REGIONAL
49,MINISTERIO DA ENERGIA E INDUSTRIA 
95,SECRETARIA DE ESTADO DE ORDENAMENTO E ADMINISTRACAO DO TERRITORIO
97,SECRETARIA DE ESTADO DO TURISMO 
