Code ,Name_en
01,PRESIDENCY AND STATE HOUSE
02,MINISTERIAL
03,CHIEF SECRETARY
05,AUDIT
06,OFFICE OF PARLIAMENTARY SERVICES
08,NATIONAL EMERGENCY
09,NATIONAL ELECTORAL COMMISSION
11,FINANCE - SECRETARIAT
12,FINANCE - PUBLIC DEBT
13,BUREAU OF STATISTICS
15,NAURU REVENUE OFFICE
16,FINANCE - OTHER PAYMENTS
17,NAURU CUSTOMS OFFICE (NCO)
18,NAURU REGIONAL PROCESSING CENTRE CORPORATION
21,CIE
22,CLIMATE CHANGE AND RESISLIENCE
31,FISHERIES
41,POLICE
42,DEPT OF MULTI CULTURAL AFFAIRS
43,JUSTICE - SECRETARIAT
44,JUDICIARY
45,BORDER CONTROL
46,CORRECTIONAL SERVICES
50,DIRECTORATE OF TVET
51,EDUCATION
52,YOUTH AFFIARS
60,COVID-19 TASK FORCE
61,HEALTH
62,SPORTS
63,DEPARTMENT OF INSTRASTRUCTURE DEVELOPMENT
71,FOREIGN AFFAIRS - SECRETARIAT
72,FOREIGN AFFAIRS - BRISBANE
73,FOREIGN AFFAIRS - SUVA
74,FOREIGN AFFAIRS - NEW YORK
75,FOREIGN AFFAIRS - TAIWAN
76,FOREIGN AFFIARS - GENEVA
77,HIGH COMISSION INDIA
78,HIGH COMISSION CANBERRA
81,INTERNAL AFFAIRS
82,WOMEN'S AND SOCIAL DEVELOPMENT AFFAIRS
83,MEDIA BUREAU
84,LANDS & SURVEY
85,LANDS COMMITTEE
86,DEPARTMENT OF LAND MANAGEMENT
87,PEOPLE LIVING WITH DISABILITY
91,TRANSPORT SECRETARIAT
93,MARITIME TRANSPORT
95,ICT
97,TELECOM
