code,name_en
01,STATE HOUSE
02,OFFICE OF THE VICE PRESIDENT
03,NATIONAL ASSEMBLY
05,ELECTORAL COMMISSION OF ZAMBIA
06,CIVIL SERVICE COMMISSION
07,OFFICE OF THE AUDITOR GENERAL
08,CABINET OFFICE - OFFICE OF THE PRESIDENT
09,TEACHING SERVICE COMMISSION  - OFFICE OF THE PRESIDENT
10,ZAMBIA POLICE SERVICE COMMISSION
11,ZAMBIA POLICE SERVICE
12,OFFICE OF THE PUBLIC PROTECTOR
14,MINISTRY OF MINES AND MINERALS DEVELOPMENT
15,MINISTRY OF HOME AFFAIRS AND INTERNAL SECURITY
16,DRUG ENFORCEMENT COMMISSION
17,MINISTRY OF FOREIGN AFFAIRS AND INTERNATIONAL COOPERATION
18,JUDICIARY
19,DISASTER MANAGEMENT AND MITIGATION UNIT
21,LOANS AND INVESTMENTS - MINISTRY OF FINANCE AND NATIONAL PLANNING
23,MINISTRY OF HOME AFFAIRS AND INTERNAL SECURITY - NATIONAL IMMIGRATION SERVIC
25,LOCAL GOVERNMENT SERVICE COMMISSION
26,MINISTRY OF INFORMATION AND MEDIA
27,PUBLIC SERVICE MANAGEMENT DIVISION
28,EMOLUMENTS COMMISSION
29,MINISTRY OF LOCAL GOVERNMENT AND RURAL DEVELOPMENT
30,ZAMBIA CORRECTIONAL SERVICES
31,MINISTRY OF JUSTICE
33,"MINISTRY OF COMMERCE, TRADE AND INDUSTRY"
34,HUMAN RIGHTS COMMISSION
35,MINISTRY OF SMALL AND MEDIUM ENTERPRISE DEVELOPMENT
36,ZAMBIA CORRECTIONAL SERVICE COMMISSION
37,MINISTRY OF FINANCE AND NATIONAL PLANNING
39,SMART ZAMBIA INSTITUTE
44,MINISTRY OF LABOUR AND SOCIAL SECURITY
45,MINISTRY OF COMMUNITY DEVELOPMENT AND SOCIAL SERVICES
46,MINISTRY OF HEALTH
51,MINISTRY OF TRANSPORT AND LOGISTICS
52,MINISTRY OF WATER DEVELOPMENT AND SANITATION
53,MINISTRY OF GREEN ECONOMY AND ENVIRONMENT
54,"MINISTRY OF  INFRASTRUCTURE, HOUSING AND URBAN DEVELOPMENT"
62,MINISTRY OF ENERGY
66,MINISTRY OF TECHNOLOGY AND SCIENCE
68,MINISTRY OF TOURISM
76,"MINISTRY OF YOUTH, SPORT AND ARTS"
77,MINISTRY OF DEFENCE
78,ZAMBIA SECURITY INTELLIGENCE SERVICE - OFFICE OF THE PRESIDENT-SPECIAL DIVISION
80,MINISTRY OF EDUCATION
85,MINISTRY OF LANDS AND NATURAL RESOURCES
86,MINISTRY OF FISHERIES AND LIVESTOCK
87,ANTI- CORRUPTION COMMISSION
88,OFFICE OF THE PRESIDENT- MUCHINGA PROVINCE
89,MINISTRY OF AGRICULTURE
90,OFFICE OF THE PRESIDENT-LUSAKA PROVINCE
91,OFFICE OF THE PRESIDENT-COPPERBELT PROVINCE
92,OFFICE OF THE PRESIDENT-CENTRAL PROVINCE
93,OFFICE OF THE PRESIDENT-NORTHERN PROVINCE
94,OFFICE OF THE PRESIDENT-WESTERN PROVINCE
95,OFFICE OF THE PRESIDENT-EASTERN PROVINCE
96,OFFICE OF THE PRESIDENT-LUAPULA PROVINCE
97,OFFICE OF THE PRESIDENT-NORTH- WESTERN PROVINCE
98,OFFICE OF THE PRESIDENT-SOUTHERN PROVINCE
99,CONSTITUTIONAL AND STATUTORY EXPENDITURE - MINISTRY OF FINANCE AND NATIONA
